college_name,city,state,type_des,degree_des,campus_des,median_family_income,retention,population_recieving_loan,fed_loan_recipients,population_recieving_pell,pell_recipients,instate_tuition,outofstate_tuition,attendance_cost,avg_net_price,first_bracket_net_price,second_bracket_net_price,third_bracket_net_price,fourth_bracket_net_price,fifth_bracket_net_price,median_earnings,avg_earnings_from_low_income_bracket,avg_earnings_from_mid_income_bracket,avg_earnings_from_high_income_bracket,earning_above_threshold,completion_rate,debt_high_income,population_debt_high_income,debt_mid_income,population_debt_mid_income,debt_low_income,population_debt_low_income,debt_pell,population_debt_pell,debt_nopell,population_debt_nopell,debt_withdrew,debt_graduated,population_repayment_cohort,repayment_rate
CUNY Graduate School and University Center,New York,NY,public,bachelors,main,15555,,0.860000014,0.2165,0.300000012,0.2542,,,,,,,,,,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,,PrivacySuppressed,PrivacySuppressed,10611,141,6375,172,10790,196,PrivacySuppressed,PrivacySuppressed,6750,12500,169,0.721893491
CUNY Hunter College,New York,NY,public,bachelors,main,22554,0.8669,0.439999998,0.1606,0.790000021,0.4097,6129,12639,14478,6688,4698,6957,10893,14004,14468,44800,46500,49600,56000,0.76387763,0.480809954,10500,637,10000,879,8250,1471,10709.5,1618,7500,1379,8500,10500,1767,0.820599887
CUNY John Jay College of Criminal Justice,New York,NY,public,bachelors,main,23126,0.7795,0.370000005,0.1671,0.850000024,0.5446,6059,12569,13308,5141,3470,5818,9770,12764,13275,43700,47400,49700,58700,0.769115448,0.331525842,11375,448,9500,783,6800,1237,8000,1743,8750,725,6500,11500,1893,0.718436344
CUNY Lehman College,Bronx,NY,public,bachelors,main,20048.5,0.815,0.400000006,0.2383,0.879999995,0.5231,6108,12618,12957,4299,2668,5472,9864,12074,12957,41500,42300,50100,55400,0.758962274,0.359137535,12251,253,7504,807,7000,1716,7000,2103,10000,675,6500,9500,1543,0.734283863
CUNY Queens College,Flushing,NY,public,bachelors,main,22794.5,0.8444,0.370000005,0.1319,0.819999993,0.3807,6207,12717,13676,5527,3538,5673,10421,12382,13622,48000,50800,51700,55700,0.772592306,0.556476286,11450,606,8062,781,8500,1063,8500,1483,10225.5,972,7639.5,11200,1479,0.821501014
CUNY York College,Jamaica,NY,public,bachelors,main,21863,0.7415,0.230000004,0.1087,0.930000007,0.5399,6096,12606,13967,5380,4087,6260,9959,12944,13896,38200,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.720914125,0.26107238,8175,124,7500,348,6500,652,7000,789,7200,336,5500,10000,608,0.669407895
Farmingdale State College,Farmingdale,NY,public,bachelors,main,44234,0.8234,0.779999971,0.3193,0.569999993,0.2708,7125,16575,15258,10590,4857,7750,12249,14627,15164,45600,46100,50900,55200,0.770106196,0.4462,12000,841,11000,649,10044,671,11000,1068,11106,1094,10000,15393,1625,0.857230769
SUNY at Albany,Albany,NY,public,bachelors,main,60558,0.815,0.939999998,0.6069,0.519999981,0.3747,8040,18360,21249,15749,10032,12970,18166,20287,20723,50900,51900,54200,61300,0.838492274,0.653957931,15000,2591,17300,1995,17936,2005,19000,3745,14016,2853,10205,21500,5334,0.874203225
SUNY at Binghamton,Vestal,NY,public,bachelors,main,57865.5,0.9074,0.939999998,0.4836,0.529999971,0.269,8144,18464,21966,16541,10159,12613,18324,20879,21655,58400,58900,67500,67700,0.853192866,0.800796625,17250,2010,17750,1199,18575,1357,19755,2380,15000,2198,11625,20500,3250,0.922461538
University at Buffalo,Buffalo,NY,public,bachelors,main,56636,0.8759,0.939999998,0.4677,0.49000001,0.2835,8211,20151,20885,15088,9181,12127,16768,19374,19954,49700,58800,55100,57600,0.823384404,0.711045393,16457,3092,15750,2376,14000,2407,16500,4196,14500,3691,9250,20100,6193,0.880671726
Stony Brook University,Stony Brook,NY,public,bachelors,main,42408,0.9009,0.870000005,0.4563,0.600000024,0.3515,7995,19935,20611,13438,8585,10717,15882,19080,19252,55500,58000,61100,60200,0.82179606,0.677875087,17499,2281,18000,1665,16055,2325,18000,3637,15000,2643,12000,20173,4771,0.882833787
SUNY College of Environmental Science and Forestry,Syracuse,NY,public,bachelors,main,67355,0.8567,0.959999979,0.5757,0.50999999,0.2676,7033,16483,22550,17408,10367,13688,16953,20086,21086,44600,44000,47100,47700,0.811040342,0.695144715,16562,375,17750,230,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,15000,418,11500,20000,606,0.932343234
SUNY Institute of Technology at Utica-Rome,Utica,NY,public,bachelors,main,40836.5,0.8384,0.899999976,0.5446,0.589999974,0.3845,7090,16540,19843,13076,7570,10403,14689,17923,19017,47900,48700,51500,54800,0.83088237,0.420412613,PrivacySuppressed,PrivacySuppressed,13500,345,13299,374,14500,600,PrivacySuppressed,PrivacySuppressed,8613.5,18000,1019,0.861629048
SUNY College at Brockport,Brockport,NY,public,bachelors,main,62559,0.8079,0.959999979,0.7085,0.519999981,0.4081,7222,16672,19511,14612,8389,11233,15508,17768,18418,40100,40700,43600,44300,0.778962314,0.670220312,17224,1606,18750,1433,17576,1385,19091,2613,15000,1818,17304,21500,3405,0.861674009
Buffalo State SUNY,Buffalo,NY,public,bachelors,main,45557,0.7532,0.899999976,0.6466,0.610000014,0.4594,7022,16382,18088,12079,6976,10303,14934,17089,17735,38900,38400,40900,42400,0.744212627,0.484934767,15000,1647,16875,1889,15207,2326,17000,3889,14000,1975,10750,21665.5,4679,0.787988887
SUNY College at Cortland,Cortland,NY,public,bachelors,main,77274.5,0.8289,0.980000019,0.6861,0.439999998,0.2687,7327,16777,21840,17996,10428,13901,18424,20619,21339,45300,41300,45000,50200,0.804032266,0.692047175,18250,1853,19500,1021,18750,723,PrivacySuppressed,PrivacySuppressed,17125,2016,10500.5,21654,2763,0.908794788
SUNY at Fredonia,Fredonia,NY,public,bachelors,main,75269.5,0.7757,0.970000029,0.705,0.430000007,0.3498,7400,16850,20802,16628,10078,13415,17629,19875,20266,40600,37400,41200,44400,0.778860927,0.643072881,19000,1313,20000,1003,PrivacySuppressed,PrivacySuppressed,20275,1571,PrivacySuppressed,PrivacySuppressed,10250,24250,2411,0.883036085
SUNY College at Geneseo,Geneseo,NY,public,bachelors,main,84076,0.9025,0.959999979,0.4918,0.389999986,0.2269,7430,16880,21004,16902,10168,12936,17479,19950,20642,46700,45500,50300,53600,0.841047525,0.785593501,18250,1102,20000,528,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,17000,1118,13200,20500,1767,0.938313526
State University of New York at New Paltz,New Paltz,NY,public,bachelors,main,59391,0.8722,0.930000007,0.5366,0.49000001,0.2798,7083,16533,20428,15479,9002,12115,17596,19831,20303,46000,45400,48400,49400,0.77077955,0.716218954,17305,1277,17064,764,18431,798,19250,1355,15375,1487,11000,20500,2140,0.88411215
SUNY Oneonta,Oneonta,NY,public,bachelors,main,72432,0.8741,0.949999988,0.6255,0.449999988,0.2871,7230,16680,20762,16385,9046,12807,16428,19350,20040,42400,39200,42600,48100,0.784148395,0.681701768,20499.5,1230,21246,705,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,19500,1295,11667,22870.5,2476,0.900646204
SUNY College at Oswego,Oswego,NY,public,bachelors,main,63043,0.7803,0.959999979,0.704,0.519999981,0.3913,7181,16631,21222,16472,9951,12941,17132,19447,20161,40700,39800,42200,45800,0.768617034,0.578746239,17871,1807,19500,1345,19305,1205,20241.5,2428,16714,1936,10900,23000,3547,0.870031012
SUNY College at Potsdam,Potsdam,NY,public,bachelors,main,61089,0.7429,0.959999979,0.7322,0.560000002,0.4367,7174,16624,19829,14117,9222,11548,15794,18158,19029,38000,39100,38100,41100,0.718967915,0.513623496,19317,698,21251,669,17359,592,21000,1194,16475,769,10277,26000,1665,0.821621622
SUNY at Purchase College,Purchase,NY,public,bachelors,main,63153,0.824,0.939999998,0.5996,0.5,0.3178,7573,17023,22381,17470,11661,14916,19688,21196,21997,34700,38100,40500,39300,0.650047064,0.591863782,18500,691,PrivacySuppressed,PrivacySuppressed,21136,459,21500,852,PrivacySuppressed,PrivacySuppressed,9500,23250,1494,0.876171352
SUNY College at Old Westbury,Old Westbury,NY,public,bachelors,main,34319,0.7583,0.819999993,0.4717,0.730000019,0.4714,6624,15874,15888,8598,4495,6631,11634,15242,15683,42900,43900,50700,50300,0.740068078,0.357838981,13751,472,15192.5,558,13000,776,14628.5,1266,12675,542,12469,17000,1377,0.687000726
SUNY College at Plattsburgh,Plattsburgh,NY,public,bachelors,main,65821,0.8376,0.959999979,0.6593,0.5,0.3528,7179,16629,20371,14906,8392,12008,16507,18593,19253,40600,39400,42500,45300,0.766999543,0.604256765,19500,1226,18500,966,17955,839,19000,1659,18000,1373,15500,22475.5,2463,0.864393017
SUNY Downstate Medical Center,Brooklyn,NY,public,bachelors,main,15393,,0.939999998,0.4943,0.159999996,0.2045,,,,,,,,,,121500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.963503659,,PrivacySuppressed,PrivacySuppressed,16334,67,14900,131,PrivacySuppressed,PrivacySuppressed,15250,169,12500,15250,163,PrivacySuppressed
SUNY Empire State College,Saratoga Springs,NY,public,bachelors,main,32531.5,0.4945,0.779999971,0.3778,0.689999998,0.3551,6265,15715,19755,13675,12936,14711,15641,18605,19755,39400,34700,48700,57600,0.700906336,0.276681308,14750,953,17479,2311,15772.5,3386,17618.5,4644,14250,2023,14250,25000,4848,0.733085809
SUNY Maritime College,Throggs Neck,NY,public,bachelors,main,79477.5,0.7933,0.939999998,0.5434,0.439999998,0.2311,7109,16559,21493,17815,10707,14766,18045,20373,20668,77300,66500,78500,84100,0.903100789,0.477139706,19912,355,25000,150,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,17792.5,358,12500,27000,476,0.863445378
Upstate Medical University,Syracuse,NY,public,bachelors,main,18907.5,,0.99000001,0.6026,0.25999999,0.2881,,,,,,,,,,112900,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.962025344,,PrivacySuppressed,PrivacySuppressed,17600,71,21952,80,PrivacySuppressed,PrivacySuppressed,16520,112,12500,19100,139,PrivacySuppressed
United States Merchant Marine Academy,Kings Point,NY,public,bachelors,main,90159,0.9733,0.949999988,0.078,0.270000011,0.076,1032,1032,6603,4275,-769,2656,3740,6603,6603,89000,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.954128444,0.746703429,4845,71,3958.5,30,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,3706,85,PrivacySuppressed,4211,134,PrivacySuppressed
Appalachian State University,Boone,NC,public,bachelors,main,69100,0.8718,0.930000007,0.4596,0.460000008,0.259,6462,18670,17780,12725,6845,8379,12358,17096,17536,36600,37500,39700,42000,0.762844503,0.673900129,16701.5,2416,15810.5,1910,13952,1319,16206,2918,15000,2738,9500,19526,3951,0.910908631
East Carolina University,Greenville,NC,public,bachelors,main,53731,0.8088,0.949999988,0.5528,0.540000021,0.3211,6143,20256,19851,14059,8583,10868,14428,18762,19601,39200,41400,43200,46200,0.781606674,0.572774596,18000,3437,19293.5,3122,18000,2879,20678,5285,15000,4172,11000,23775.5,6269,0.852129526
Elizabeth City State University,Elizabeth City,NC,public,bachelors,main,26308,0.7247,0.860000014,0.7652,0.839999974,0.7029,4429,15286,10620,2035,1144,1425,4032,6084,7835,30100,29300,35700,34100,0.617440224,0.420940306,21325,209,15893,514,18419,1068,18721,1527,12994,264,12692,24886,1186,0.365092749
Fayetteville State University,Fayetteville,NC,public,bachelors,main,26610.5,0.7133,0.879999995,0.7136,0.829999983,0.5873,4605,15401,13188,5808,4826,5536,9152,10907,11771,31100,31600,34800,35000,0.62599051,0.317142286,16000,277,17548,935,16774,2144,17995,2801,12000,559,13043,21232,2545,0.462868369
North Carolina A & T State University,Greensboro,NC,public,bachelors,main,37668.5,0.7977,0.949999988,0.7788,0.709999979,0.5878,5422,16503,15313,8379,6743,7460,10699,13450,13555,33600,35600,39300,42500,0.661780894,0.426966758,20544,909,21000,1788,19083.5,2548,20912.5,4072,16250,1175,19500,23005.5,3880,0.490979381
University of North Carolina at Asheville,Asheville,NC,public,bachelors,main,48654,0.8025,0.920000017,0.4633,0.550000012,0.3187,6241,20063,17468,11765,7134,8746,12009,15374,15848,36000,39100,41300,39000,0.697959185,0.573776274,16457,444,PrivacySuppressed,PrivacySuppressed,16750,565,16993.5,868,PrivacySuppressed,PrivacySuppressed,7629,20508,1029,0.834791059
University of North Carolina at Chapel Hill,Chapel Hill,NC,public,bachelors,main,64969.5,0.9609,0.889999986,0.3192,0.430000007,0.2053,8340,30122,23069,13322,5729,7561,12581,18312,21885,50400,56600,60900,65500,0.847191036,0.896934836,17829,2202,14727,1533,11443.5,1114,13193,2279,16915,2589,11666.5,15906,2874,0.943284621
University of North Carolina at Charlotte,Charlotte,NC,public,bachelors,main,51983,0.8038,0.920000017,0.5879,0.560000002,0.4046,6107,18636,17767,12268,8375,9231,12069,16277,17531,41700,45900,46800,48400,0.790613711,0.536376872,16000,3032,16250,3390,17000,3688,18205.5,6430,13480.5,3702,10166.5,23005,6257,0.858078952
University of North Carolina at Greensboro,Greensboro,NC,public,bachelors,main,50195,0.7386,0.930000007,0.5872,0.589999974,0.4432,6382,20180,17362,11010,7392,8744,12243,16618,17099,37000,38500,41800,41000,0.753584504,0.548535935,16500,1982,16000,2711,15863,2966,17460,5014,13750,2658,9500,22500,4854,0.821796457
North Carolina Central University,Durham,NC,public,bachelors,main,29880,0.7318,0.959999979,0.8126,0.75,0.635,5526,16099,17873,10214,8699,9879,13076,16639,16856,31600,33300,35400,35100,0.630977869,0.409723745,21250,532,22206,1333,21578,2417,23472.5,3330,16820.5,954,14814.5,30203,2941,0.413124787
University of North Carolina School of the Arts,Winston-Salem,NC,public,bachelors,main,69633.5,0.848,0.980000019,0.5711,0.449999988,0.3132,8271,21416,19666,11759,4878,8976,11595,16696,18826,30500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.563876629,0.616244324,19500,139,19750,104,PrivacySuppressed,PrivacySuppressed,20071.5,172,PrivacySuppressed,PrivacySuppressed,11500,26187.5,273,0.824175824
North Carolina State University at Raleigh,Raleigh,NC,public,bachelors,main,66351,0.9258,0.910000026,0.424,0.469999999,0.2247,8206,21661,20511,13164,6456,7636,11956,16919,19500,47500,54800,53000,56100,0.828685284,0.721404089,19500,3358,18301,2599,14392,1944,17500,3947,18166,3971,12000,20500,5197,0.914758515
University of North Carolina Wilmington,Wilmington,NC,public,bachelors,main,63608.5,0.864,0.949999988,0.5109,0.469999999,0.2825,6343,18480,18165,13618,7958,9275,13141,16968,17730,38700,40100,43500,46700,0.764212847,0.698202081,17250,2056,16620,1587,15726,1629,17697,2831,15000,2452,9761.5,20624,3419,0.855513308
University of North Carolina at Pembroke,Pembroke,NC,public,bachelors,main,36289.5,0.6759,0.910000026,0.6704,0.699999988,0.5349,5144,14351,15784,10301,8153,8808,11931,14263,15253,33400,33400,36200,39300,0.67567569,0.334001823,12500,581,13754.5,1104,13500,1742,14500,2650,10000,785,12177,21000,2484,0.658615137
Winston-Salem State University,Winston-Salem,NC,public,bachelors,main,30559.5,0.75,0.920000017,0.7249,0.75999999,0.572,5468,14281,15990,8788,7065,7964,11442,14500,14677,33300,34100,38800,40000,0.665289283,0.429817234,16798,482,19876,1068,22000,1780,22704.5,2544,13750,791,15000,27687,2429,0.566076575
Western Carolina University,Cullowhee,NC,public,bachelors,main,55820,0.7865,0.920000017,0.5798,0.529999971,0.3814,6265,15862,17805,12380,8558,9280,13161,16630,17432,35100,37200,38000,42100,0.73296839,0.493427218,17730,1155,14982.5,1462,13029,1306,15252.5,2328,14348,1605,8261,21249,2698,0.820237213
Dickinson State University,Dickinson,ND,public,bachelors,main,47245.5,0.5545,0.949999988,0.4273,0.579999983,0.2341,5846,8198,13314,10079,8757,7447,10195,12171,12188,37000,37200,43800,47200,0.722411811,0.385159448,PrivacySuppressed,PrivacySuppressed,14925,318,11516,261,13500,470,PrivacySuppressed,PrivacySuppressed,8750,20362,1009,0.902874133
Mayville State University,Mayville,ND,public,bachelors,main,54695,0.5592,0.980000019,0.5434,0.560000002,0.297,6353,8675,15452,12236,8954,9955,11786,13513,14643,34000,30800,34500,40400,0.702380955,0.380574336,11827,151,13730,193,9500,174,12243,321,PrivacySuppressed,PrivacySuppressed,8025,21652,383,0.793733681
Minot State University,Minot,ND,public,bachelors,main,43540,0.6818,0.939999998,0.3951,0.600000024,0.2317,6086,6086,14549,10584,8068,7997,10706,12395,12955,37200,35600,41900,45700,0.731829584,0.352693629,11000,379,14353,477,12262.5,506,14312,815,10500,551,8845,22000,1390,0.842446043
University of North Dakota,Grand Forks,ND,public,bachelors,main,72841.5,0.7502,0.980000019,0.5382,0.419999987,0.2087,7508,17794,20538,16931,13479,15512,16183,18194,18996,46600,57000,53500,58600,0.843036532,0.547800865,16000,2315,17125,1683,17281,1162,20000,2359,14000,2817,10000,24500,4006,0.916874688
North Dakota State University-Main Campus,Fargo,ND,public,bachelors,main,71695,0.7805,0.980000019,0.5629,0.430000007,0.2251,7660,18242,18277,14404,10296,10884,14071,16030,16519,46300,49100,52800,56800,0.838100672,0.529183673,16000,2527,18400,1972,16000,1166,20500,2644,13346.5,3042,8250,25050,4452,0.9344115
Valley City State University,Valley City,ND,public,bachelors,main,55533,0.6444,0.970000029,0.4761,0.560000002,0.2644,6516,14596,16086,11664,8654,9307,11479,12890,13186,36700,35000,44100,39800,0.741214037,0.437680886,12000,179,13985.5,218,PrivacySuppressed,PrivacySuppressed,12464,324,PrivacySuppressed,PrivacySuppressed,7138,22777.5,424,0.875
University of Akron Main Campus,Akron,OH,public,bachelors,main,42489,0.6636,0.930000007,0.6238,0.620000005,0.4149,10054,18418,21338,17777,15408,16216,18825,21074,21329,34800,32100,42000,43100,0.668953001,0.413361504,14681,3284,16724,4209,14250,6109,16661,9499,11619,4129,10261.5,26812,10194,0.659897979
Bowling Green State University-Main Campus,Bowling Green,OH,public,bachelors,main,70038,0.7012,0.959999979,0.6873,0.5,0.343,10726,18034,22416,17793,14447,15605,18209,19687,20086,39000,37800,40600,45300,0.762119532,0.560006728,17500,3221,19000,3090,16300,2893,19500,5623,14000,3594,9500,26000,7330,0.765757162
Central State University,Wilberforce,OH,public,bachelors,main,25877,0.5279,0.939999998,0.8294,0.839999974,0.7576,6058,13510,17380,11172,10702,10907,13365,12579,13942,24900,26200,28300,27400,0.497206718,0.260270428,20250,108,19000,394,15069.5,1158,18014,1536,9500,124,10500,39068,1370,0.203649635
University of Cincinnati-Main Campus,Cincinnati,OH,public,bachelors,main,50863,0.8462,0.939999998,0.5545,0.519999981,0.2658,10784,25816,25799,21681,15961,17982,21694,24005,24392,39400,43900,44100,49400,0.741188169,0.564816507,14841,5502,16342,5076,14250,5611,17012,9505,12500,6715,9500,23947.5,12071,0.75494988
Cleveland State University,Cleveland,OH,public,bachelors,main,31001,0.6721,0.930000007,0.6316,0.610000014,0.4344,9499,12678,22041,16750,14876,15615,18206,19470,19261,39300,40400,45500,46100,0.728859067,0.327088119,14595.5,1364,16500,2176,17603,4053,19742,5003,12500,2595,11888,24000,5012,0.692537909
Kent State University at Kent,Kent,OH,public,bachelors,main,51560,0.7774,0.939999998,0.6339,0.600000024,0.3443,9816,17776,23995,19249,15368,16895,20086,21749,22085,36600,35400,40100,43100,0.704835474,0.516724867,16000,5108,17500,6685,15270.5,8458,18330,13996,12500,6282,10500,26225,13895,0.690392227
Miami University-Hamilton,Hamilton,OH,public,bachelors,branch,81424.5,0.648,0.939999998,0.5892,0.409999996,0.4741,5072,14165,17107,13869,11670,12899,15334,16803,17000,45800,38400,50100,59300,0.791638136,0.262163773,18000,3323,17500,2111,14250,2675,17876,4543,15000,3584,9500,25000,6101,0.746271103
Miami University-Middletown,Middletown,OH,public,bachelors,branch,81424.5,0.6066,0.939999998,0.5841,0.409999996,0.4656,5072,14165,18054,14684,12704,13484,16131,17349,17717,45800,38400,50100,59300,0.791638136,0.2479652,18000,3323,17500,2111,14250,2675,17876,4543,15000,3584,9500,25000,6101,0.746271103
Miami University-Oxford,Oxford,OH,public,bachelors,main,81424.5,0.8957,0.939999998,0.4162,0.409999996,0.1553,13800,29590,30858,24267,16604,19838,24345,26054,26688,45800,38400,50100,59300,0.791638136,0.803533362,18000,3323,17500,2111,14250,2675,17876,4543,15000,3584,9500,25000,6101,0.746271103
Ohio State University-Main Campus,Columbus,OH,public,bachelors,main,65600.5,0.9245,0.930000007,0.4587,0.5,0.2224,10037,25757,24524,17866,10026,12218,16953,20832,22369,42600,44500,47300,51600,0.780029416,0.828265531,18000,8085,17216,6114,15000,5415,18163,10459,15500,9183,9500,22250,15353,0.834755422
Ohio University-Main Campus,Athens,OH,public,bachelors,main,62815,0.7862,0.930000007,0.518,0.529999971,0.2339,10446,19410,23605,19416,13628,15532,19427,21674,22408,39500,35800,42000,49400,0.742939055,0.650928149,15500,5144,15000,5309,12667,5367,15500,9662,12808,6184,9500,22500,11016,0.700344953
Shawnee State University,Portsmouth,OH,public,bachelors,main,31079,0.5196,0.870000005,0.7268,0.75,0.5567,7177,12291,17742,14850,13391,13964,16461,17676,17742,32200,32100,35800,41900,0.641190648,0.281037412,11657,628,14000,1055,9500,1814,11047.5,2654,9606,843,8250,23666,2524,0.608161648
University of Toledo,Toledo,OH,public,bachelors,main,57163,0.6805,0.949999988,0.5921,0.540000021,0.3792,9275,18395,21263,14595,12687,13404,15226,17139,16942,40200,40100,46300,49500,0.749260783,0.447268813,15000,2814,15299,3140,12750,3841,15834,6443,11826.5,3372,9500,24994,7933,0.672507248
Wright State University-Main Campus,Dayton,OH,public,bachelors,main,52197.5,0.6155,0.930000007,0.6136,0.550000012,0.4049,8542,16546,20762,16093,13089,14216,17408,19114,19419,38800,44900,43500,43600,0.745917499,0.410003649,14000,2282,15000,2794,15500,3529,17000,5637,11531.5,2976,10500,25187,6210,0.760064412
Youngstown State University,Youngstown,OH,public,bachelors,main,39369,0.6933,0.910000026,0.6905,0.689999998,0.512,8129,8358,17350,12707,10641,11863,14836,16066,15723,34800,33600,39300,43700,0.676202834,0.32257308,15000,1310,18097,2318,15507.5,3718,17870,5599,11600,1755,12229.5,28000,6751,0.536957488
Cameron University,Lawton,OK,public,bachelors,main,23834.5,0.604,0.689999998,0.4073,0.819999993,0.4859,5055,12495,14852,9100,7965,8552,10647,13027,14005,33900,35300,41900,39000,0.677907765,0.195405136,8250,299,9500,821,9258,1539,9500,2145,6000,515,8056,18602.5,1771,0.631846414
University of Central Oklahoma,Edmond,OK,public,bachelors,main,36756.5,0.6511,0.850000024,0.4162,0.660000026,0.3496,5437,13551,16684,11232,8572,9879,13789,15078,15738,38400,42800,45500,44200,0.735133469,0.339539173,11250,1474,13250,2166,12750,2947,14375,4450,9970.5,2148,9001,22250,4556,0.761852502
East Central University,Ada,OK,public,bachelors,main,27762,0.6252,0.769999981,0.4532,0.790000021,0.4848,5241,12643,13735,7325,7329,6742,,,,34500,35600,41100,44800,0.708141327,0.33509224,11340,294,11231.5,636,12773,1133,12965,1635,9049,433,9287,19500,1515,0.664686469
Langston University,Langston,OK,public,bachelors,main,20334.5,0.7,0.920000017,0.7808,0.879999995,0.7167,3815,9239,13531,6406,6038,6696,7461,9461,3945,28400,29900,34400,36200,0.571288109,0.184077381,15000,118,15000,437,14896,1256,15825,1607,9500,206,11579,30201,1537,0.372153546
Northeastern State University,Tahlequah,OK,public,bachelors,main,28559,0.6807,0.810000002,0.5201,0.769999981,0.4926,4992,12012,13296,6668,4811,6278,8931,10713,9723,35000,35800,40700,41700,0.709259272,0.300194036,12595,680,12750,1434,12273,2175,13189,3257,11000,1039,9500,18471,3547,0.654355794
Northwestern Oklahoma State University,Alva,OK,public,bachelors,main,33698,0.5917,0.75999999,0.4301,0.720000029,0.4177,5642,11764,13065,5842,3763,4075,7912,9196,8719,36100,40100,46600,43700,0.71606648,0.311701926,8250,224,8058.5,388,7221.5,432,7892,725,7491,323,5500,15000,713,0.726507714
University of Oklahoma-Health Sciences Center,Oklahoma City,OK,public,bachelors,branch,50281,,1,0.6377,0,0.2949,,,,,,,,,,46600,60200,57300,56300,0.808101475,,15750,2879,16000,2645,15103,2879,17626,4623,14000,3799,12000,20000,6238,0.878166079
Oklahoma Panhandle State University,Goodwell,OK,public,bachelors,main,33556,0.6286,0.790000021,0.5161,0.75999999,0.4554,6739,6739,15439,11034,9789,9760,12354,13901,13635,34400,35300,41000,52400,0.660678625,0.215114729,12500,153,10750,225,6833,296,9500,492,PrivacySuppressed,PrivacySuppressed,5875,18154,580,0.663793103
Oklahoma State University-Main Campus,Stillwater,OK,public,bachelors,main,52462,0.7861,0.899999976,0.4371,0.569999993,0.2914,7442,20027,21338,14053,9677,10891,15256,18507,19735,43400,46700,51500,53200,0.786097348,0.608844402,14500,2592,15209.5,2464,14206,2474,16250,4641,12321,2918,9500,20500,5514,0.855821545
University of Oklahoma-Norman Campus,Norman,OK,public,bachelors,main,49891,0.8395,0.899999976,0.3806,0.529999971,0.2491,8916,21105,23263,16526,13252,14881,17644,20645,21685,46600,60200,57300,56300,0.808101475,0.663500717,15750,2879,16000,2645,15103,2879,17626,4623,14000,3799,12000,20000,6238,0.878166079
Rogers State University,Claremore,OK,public,bachelors,main,29974,0.6044,0.75999999,0.4682,0.779999971,0.4721,5349,12005,17213,12256,10885,11000,13962,16452,16806,32600,31900,38600,40800,0.650092065,0.1901566,7998,413,9000,902,8000,1248,9000,1951,6500,615,6500,19000,1661,0.681517158
University of Science and Arts of Oklahoma,Chickasha,OK,public,bachelors,main,36561,0.6909,0.769999981,0.4761,0.730000019,0.464,4866,11298,15440,7956,5027,6791,7416,11549,14140,30700,30800,34800,40300,0.625,0.394118227,PrivacySuppressed,PrivacySuppressed,12000,159,10038,230,11265,350,PrivacySuppressed,PrivacySuppressed,6375,19591.5,425,0.743529412
Southeastern Oklahoma State University,Durant,OK,public,bachelors,main,28378,0.5737,0.730000019,0.4546,0.790000021,0.4777,5315,13440,14050,7848,6498,7301,9514,12289,12153,34300,35300,40300,45600,0.72986114,0.303203533,10389.5,256,10495,622,9045,944,10103,1445,8580,379,7271,16443,1427,0.686755431
Southwestern Oklahoma State University,Weatherford,OK,public,bachelors,main,35512,0.7008,0.779999971,0.6484,0.699999988,0.3921,5460,11820,16660,10272,7742,7849,11193,13474,13519,37000,40400,46800,52500,0.699154913,0.34540092,12683.5,484,10250,670,9200.5,818,10375,1348,10310.5,626,8097,16759,1973,0.693867207
Eastern Oregon University,La Grande,OR,public,bachelors,main,38491,0.6378,0.910000026,0.5992,0.680000007,0.5105,7530,16755,18959,13373,11709,11722,14975,16167,16226,37800,34800,42600,45100,0.68705672,0.278209173,12478,326,16666,735,14057,1143,16031.5,1688,12400,521,12175.5,22500,1754,0.763397948
Oregon Health & Science University,Portland,OR,public,bachelors,main,19452,,0.980000019,0.7782,0.270000011,0.3176,,,,,,,,,,74100,93400,87400,72600,0.918629527,,17999.5,118,16625,235,7723,627,PrivacySuppressed,PrivacySuppressed,8916.5,700,7912,15364.5,430,0.965116279
Oregon Institute of Technology,Klamath Falls,OR,public,bachelors,main,38541,0.7423,0.930000007,0.5068,0.610000014,0.3621,8548,22188,18801,13809,10722,10781,14233,17560,17896,50100,49600,54900,58000,0.797909379,0.464228624,16322,302,18933,491,18519,740,19625,1073,13083.5,470,12000,26067,1276,0.893416928
Oregon State University,Corvallis,OR,public,bachelors,main,54955,0.8415,0.939999998,0.5162,0.560000002,0.3339,8322,23514,22974,17420,13854,14471,17038,21070,21353,46400,48300,51000,53400,0.791411042,0.611886887,16196,3112,16665,3208,17821,3621,19500,6204,12500,3772,11386,23166,5486,0.887714182
